# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  121       4.460733135870e-10       1.366702573949e-13      -4.785563293224e-12       6.306594684493e-16       6.486532285750e-12       1.021620182619e-12      -6.102566986110e-15 
  122       4.505548187912e-10       1.378084106899e-13      -4.858247434331e-12       6.415343085305e-16       6.341562763829e-12       1.003556839821e-12      -6.028371471556e-15 
  123       4.550463590814e-10       1.388916140857e-13      -4.929463168472e-12       6.525214329190e-16       6.200949158707e-12       9.859384697844e-13      -5.949771543285e-15 
  124       4.595468182381e-10       1.399186891979e-13      -4.999136834626e-12       6.636216293488e-16       6.064533932485e-12       9.687555701211e-13      -5.867761179117e-15 
  125       4.640549778052e-10       1.408884971957e-13      -5.067194684735e-12       6.748356962753e-16       5.932128165571e-12       9.519954986662e-13      -5.783401799967e-15 
  126       4.685695143463e-10       1.417999401710e-13      -5.133562911967e-12       6.861644429004e-16       5.803510744228e-12       9.356423878273e-13      -5.697823610700e-15 
  127       4.730889967016e-10       1.426519625070e-13      -5.198167678967e-12       6.976086891970e-16       5.678427548112e-12       9.196770589336e-13      -5.612226940996e-15 
  128       4.776118832441e-10       1.434435522470e-13      -5.260935146121e-12       7.091692659336e-16       5.556590637819e-12       9.040769365850e-13      -5.527883586202e-15 
  129       4.821366850530e-10       1.441737871251e-13      -5.321792858290e-12       7.208470293865e-16       5.437740143728e-12       8.888212744732e-13      -5.445891654506e-15 
  130       4.866624815013e-10       1.448419754596e-13      -5.380674017018e-12       7.326429072498e-16       5.321839334345e-12       8.739076629331e-13      -5.366406853876e-15 
  131       4.911884563076e-10       1.454475333746e-13      -5.437513732578e-12       7.445578578315e-16       5.208899511438e-12       8.593371788574e-13      -5.289329017748e-15 
  132       4.957137351480e-10       1.459899431955e-13      -5.492247745101e-12       7.565928559463e-16       5.098918866738e-12       8.451091893781e-13      -5.214540620738e-15 
  133       5.002373841000e-10       1.464687551372e-13      -5.544812462558e-12       7.687488930449e-16       4.991882118154e-12       8.312213042222e-13      -5.141906355677e-15 
  134       5.047584080864e-10       1.468835889929e-13      -5.595144998738e-12       7.810269773437e-16       4.887760145984e-12       8.176693280683e-13      -5.071272710653e-15 
  135       5.092757493186e-10       1.472341358222e-13      -5.643183211226e-12       7.934281339549e-16       4.786509629124e-12       8.044472129024e-13      -5.002467546046e-15 
  136       5.137882857405e-10       1.475201596398e-13      -5.688865739383e-12       8.059534050158e-16       4.688072681281e-12       7.915470103743e-13      -4.935299671577e-15 
  137       5.182948294728e-10       1.477414991035e-13      -5.732132042323e-12       8.186038498186e-16       4.592376487185e-12       7.789588241537e-13      -4.869558423336e-15 
  138       5.227941252556e-10       1.478980692031e-13      -5.772922436892e-12       8.313805449403e-16       4.499332938801e-12       7.666707622866e-13      -4.805013240833e-15 
  139       5.272848488935e-10       1.479898629487e-13      -5.811178135649e-12       8.442845843723e-16       4.408838271537e-12       7.546688895512e-13      -4.741413244028e-15 
  140       5.317656056981e-10       1.480169530587e-13      -5.846841284840e-12       8.573170796501e-16       4.320772700460e-12       7.429371798139e-13      -4.678486810379e-15 
  141       5.362349289327e-10       1.479794936488e-13      -5.879855002381e-12       8.704791599831e-16       4.235000056502e-12       7.314574683864e-13      -4.615941151876e-15 
  142       5.406912782555e-10       1.478777219201e-13      -5.910163415834e-12       8.837719723840e-16       4.151367422679e-12       7.202094043806e-13      -4.553461892082e-15 
  143       5.451330381633e-10       1.477119598476e-13      -5.937711700387e-12       8.971966817990e-16       4.069704770294e-12       7.091704030658e-13      -4.490712643175e-15 
